montain;"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"10;1";"9;1";"3;1";"3;1";"0;2"
;"10;1";"10;1";"9;1";"8;1";"7;1";"6;1";"5;1";"4;1";"3;1";"9;1";"9;1";"9;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"6;1";"6;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"2;1";"1;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"4;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"5;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"2;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"2;1";"1;1";"2;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2"
;"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2";"0;2"
;"3;1";"1;1";"1;1";"1;1";"1;1";"1;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"2;1";"0;2"
;"3;1";"3;1";"3;1";"2;1";"2;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"1;1";"0;2"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"0;2"
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
plain;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
;"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1";"3;1"
